"Código Departamento";"Nombre Departamento";"Código Municipio";"Nombre Municipio"
"05";"ANTIOQUIA";"686";"SANTA ROSA DE OSOS"
"05";"ANTIOQUIA";"690";"SANTO DOMINGO"
"05";"ANTIOQUIA";"697";"EL SANTUARIO"
"05";"ANTIOQUIA";"736";"SEGOVIA"
"05";"ANTIOQUIA";"756";"SONSON"
"05";"ANTIOQUIA";"761";"SOPETRAN"
"05";"ANTIOQUIA";"789";"TAMESIS"
"05";"ANTIOQUIA";"790";"TARAZA"
"05";"ANTIOQUIA";"792";"TARSO"
"05";"ANTIOQUIA";"809";"TITIRIBI"
"05";"ANTIOQUIA";"819";"TOLEDO"
"05";"ANTIOQUIA";"837";"TURBO"
"05";"ANTIOQUIA";"842";"URAMITA"
"05";"ANTIOQUIA";"847";"URRAO"
"05";"ANTIOQUIA";"854";"VALDIVIA"
"05";"ANTIOQUIA";"856";"VALPARAISO"
"05";"ANTIOQUIA";"858";"VEGACHI"
"05";"ANTIOQUIA";"861";"VENECIA"
"05";"ANTIOQUIA";"873";"VIGIA DEL FUERTE"
"05";"ANTIOQUIA";"885";"YALI"
"05";"ANTIOQUIA";"887";"YARUMAL"
"05";"ANTIOQUIA";"890";"YOLOMBO"
"05";"ANTIOQUIA";"893";"YONDO"
"05";"ANTIOQUIA";"895";"ZARAGOZA"
"08";"ATLANTICO";"001";"BARRANQUILLA"
"08";"ATLANTICO";"078";"BARANOA"
"08";"ATLANTICO";"137";"CAMPO DE LA CRUZ"
"08";"ATLANTICO";"141";"CANDELARIA"
"08";"ATLANTICO";"296";"GALAPA"
"08";"ATLANTICO";"372";"JUAN DE ACOSTA"
"08";"ATLANTICO";"421";"LURUACO"
"08";"ATLANTICO";"433";"MALAMBO"
"08";"ATLANTICO";"436";"MANATI"
"08";"ATLANTICO";"520";"PALMAR DE VARELA"
"08";"ATLANTICO";"549";"PIOJO"
"08";"ATLANTICO";"558";"POLONUEVO"
"08";"ATLANTICO";"560";"PONEDERA"
"08";"ATLANTICO";"573";"PUERTO COLOMBIA"
"08";"ATLANTICO";"606";"REPELON"
"08";"ATLANTICO";"634";"SABANAGRANDE"
"08";"ATLANTICO";"638";"SABANALARGA"
"08";"ATLANTICO";"675";"SANTA LUCIA"
"08";"ATLANTICO";"685";"SANTO TOMAS"
"08";"ATLANTICO";"758";"SOLEDAD"
"08";"ATLANTICO";"770";"SUAN"
"08";"ATLANTICO";"832";"TUBARA"
"08";"ATLANTICO";"849";"USIACURI"
"11";"BOGOTA";"001";"BOGOTA, D.C."
"13";"BOLIVAR";"001";"CARTAGENA"
"13";"BOLIVAR";"006";"ACHI"
"13";"BOLIVAR";"030";"ALTOS DEL ROSARIO"
"13";"BOLIVAR";"042";"ARENAL"
"13";"BOLIVAR";"052";"ARJONA"
"13";"BOLIVAR";"062";"ARROYOHONDO"
"13";"BOLIVAR";"074";"BARRANCO DE LOBA"
"13";"BOLIVAR";"140";"CALAMAR"
"13";"BOLIVAR";"160";"CANTAGALLO"
"13";"BOLIVAR";"188";"CICUCO"
"13";"BOLIVAR";"212";"CORDOBA"
"13";"BOLIVAR";"222";"CLEMENCIA"
"13";"BOLIVAR";"244";"EL CARMEN DE BOLIVAR"
"13";"BOLIVAR";"248";"EL GUAMO"
"13";"BOLIVAR";"268";"EL PEÑON"
"13";"BOLIVAR";"300";"HATILLO DE LOBA"
"13";"BOLIVAR";"430";"MAGANGUE"
"13";"BOLIVAR";"433";"MAHATES"
"13";"BOLIVAR";"440";"MARGARITA"
"13";"BOLIVAR";"442";"MARIA LA BAJA"
"13";"BOLIVAR";"458";"MONTECRISTO"
"13";"BOLIVAR";"468";"MOMPOS"
"13";"BOLIVAR";"490";"NOROSI"
"13";"BOLIVAR";"473";"MORALES"
"13";"BOLIVAR";"549";"PINILLOS"
"13";"BOLIVAR";"580";"REGIDOR"
"13";"BOLIVAR";"600";"RIO VIEJO"
"13";"BOLIVAR";"620";"SAN CRISTOBAL"
"13";"BOLIVAR";"647";"SAN ESTANISLAO"
"13";"BOLIVAR";"650";"SAN FERNANDO"
"13";"BOLIVAR";"654";"SAN JACINTO"
"13";"BOLIVAR";"655";"SAN JACINTO DEL CAUCA"
"13";"BOLIVAR";"657";"SAN JUAN NEPOMUCENO"
"13";"BOLIVAR";"667";"SAN MARTIN DE LOBA"
"13";"BOLIVAR";"670";"SAN PABLO"
"13";"BOLIVAR";"673";"SANTA CATALINA"
"13";"BOLIVAR";"683";"SANTA ROSA"
"13";"BOLIVAR";"688";"SANTA ROSA DEL SUR"
"13";"BOLIVAR";"744";"SIMITI"
"13";"BOLIVAR";"760";"SOPLAVIENTO"
"13";"BOLIVAR";"780";"TALAIGUA NUEVO"
"13";"BOLIVAR";"810";"TIQUISIO"
"13";"BOLIVAR";"836";"TURBACO"
"13";"BOLIVAR";"838";"TURBANA"
"13";"BOLIVAR";"873";"VILLANUEVA"
"13";"BOLIVAR";"894";"ZAMBRANO"
"15";"BOYACA";"001";"TUNJA"
"15";"BOYACA";"022";"ALMEIDA"
"15";"BOYACA";"047";"AQUITANIA"
"15";"BOYACA";"051";"ARCABUCO"
"15";"BOYACA";"087";"BELEN"
"15";"BOYACA";"090";"BERBEO"
"15";"BOYACA";"092";"BETEITIVA"
"15";"BOYACA";"097";"BOAVITA"
"15";"BOYACA";"104";"BOYACA"
"15";"BOYACA";"106";"BRICEÑO"
"15";"BOYACA";"109";"BUENAVISTA"
"15";"BOYACA";"114";"BUSBANZA"
"15";"BOYACA";"131";"CALDAS"
"15";"BOYACA";"135";"CAMPOHERMOSO"
"15";"BOYACA";"162";"CERINZA"
"15";"BOYACA";"172";"CHINAVITA"
"15";"BOYACA";"176";"CHIQUINQUIRA"
"15";"BOYACA";"180";"CHISCAS"
"15";"BOYACA";"183";"CHITA"
"15";"BOYACA";"185";"CHITARAQUE"
"15";"BOYACA";"187";"CHIVATA"
"15";"BOYACA";"189";"CIENEGA"
"15";"BOYACA";"204";"COMBITA"
"15";"BOYACA";"212";"COPER"
"15";"BOYACA";"215";"CORRALES"
"15";"BOYACA";"218";"COVARACHIA"
"15";"BOYACA";"223";"CUBARA"
"15";"BOYACA";"224";"CUCAITA"
"15";"BOYACA";"226";"CUITIVA"
"15";"BOYACA";"232";"CHIQUIZA"
"15";"BOYACA";"236";"CHIVOR"
"15";"BOYACA";"238";"DUITAMA"
"15";"BOYACA";"244";"EL COCUY"
"15";"BOYACA";"248";"EL ESPINO"
"15";"BOYACA";"272";"FIRAVITOBA"
"15";"BOYACA";"276";"FLORESTA"
"15";"BOYACA";"293";"GACHANTIVA"
"15";"BOYACA";"296";"GAMEZA"
"15";"BOYACA";"299";"GARAGOA"
"15";"BOYACA";"317";"GUACAMAYAS"
"15";"BOYACA";"322";"GUATEQUE"
"15";"BOYACA";"325";"GUAYATA"
"15";"BOYACA";"332";"GsICAN"
"15";"BOYACA";"362";"IZA"
"15";"BOYACA";"367";"JENESANO"
"15";"BOYACA";"368";"JERICO"
"15";"BOYACA";"377";"LABRANZAGRANDE"
"15";"BOYACA";"380";"LA CAPILLA"
"15";"BOYACA";"401";"LA VICTORIA"
"15";"BOYACA";"403";"LA UVITA"
"15";"BOYACA";"407";"VILLA DE LEYVA"
"15";"BOYACA";"425";"MACANAL"
"15";"BOYACA";"442";"MARIPI"
"15";"BOYACA";"455";"MIRAFLORES"
"15";"BOYACA";"464";"MONGUA"
"15";"BOYACA";"466";"MONGUI"
"15";"BOYACA";"469";"MONIQUIRA"
"15";"BOYACA";"476";"MOTAVITA"
"15";"BOYACA";"480";"MUZO"
"15";"BOYACA";"491";"NOBSA"
"15";"BOYACA";"494";"NUEVO COLON"
"15";"BOYACA";"500";"OICATA"
"15";"BOYACA";"507";"OTANCHE"
"15";"BOYACA";"511";"PACHAVITA"
"15";"BOYACA";"514";"PAEZ"
"15";"BOYACA";"516";"PAIPA"
"15";"BOYACA";"518";"PAJARITO"
"15";"BOYACA";"522";"PANQUEBA"
"15";"BOYACA";"531";"PAUNA"
"15";"BOYACA";"533";"PAYA"
"15";"BOYACA";"537";"PAZ DE RIO"
"15";"BOYACA";"542";"PESCA"
"15";"BOYACA";"550";"PISBA"
"15";"BOYACA";"572";"PUERTO BOYACA"
"15";"BOYACA";"580";"QUIPAMA"
"15";"BOYACA";"599";"RAMIRIQUI"
"15";"BOYACA";"600";"RAQUIRA"
"15";"BOYACA";"621";"RONDON"
"15";"BOYACA";"632";"SABOYA"
"15";"BOYACA";"638";"SACHICA"
"15";"BOYACA";"646";"SAMACA"
"15";"BOYACA";"660";"SAN EDUARDO"
"15";"BOYACA";"664";"SAN JOSE DE PARE"
"15";"BOYACA";"667";"SAN LUIS DE GACENO"
"15";"BOYACA";"673";"SAN MATEO"
"15";"BOYACA";"676";"SAN MIGUEL DE SEMA"
"15";"BOYACA";"681";"SAN PABLO DE BORBUR"
"15";"BOYACA";"686";"SANTANA"
"15";"BOYACA";"690";"SANTA MARIA"
"15";"BOYACA";"693";"SANTA ROSA DE VITERBO"
"15";"BOYACA";"696";"SANTA SOFIA"
"15";"BOYACA";"720";"SATIVANORTE"
"15";"BOYACA";"723";"SATIVASUR"
"15";"BOYACA";"740";"SIACHOQUE"
"15";"BOYACA";"753";"SOATA"
"15";"BOYACA";"755";"SOCOTA"
"15";"BOYACA";"757";"SOCHA"
"15";"BOYACA";"759";"SOGAMOSO"
"15";"BOYACA";"761";"SOMONDOCO"
"15";"BOYACA";"762";"SORA"
"15";"BOYACA";"763";"SOTAQUIRA"
"15";"BOYACA";"764";"SORACA"
"15";"BOYACA";"774";"SUSACON"
"15";"BOYACA";"776";"SUTAMARCHAN"
"15";"BOYACA";"778";"SUTATENZA"
"15";"BOYACA";"790";"TASCO"
"15";"BOYACA";"798";"TENZA"
"15";"BOYACA";"804";"TIBANA"
"15";"BOYACA";"806";"TIBASOSA"
"15";"BOYACA";"808";"TINJACA"
"15";"BOYACA";"810";"TIPACOQUE"
"15";"BOYACA";"814";"TOCA"
"15";"BOYACA";"816";"TOGsI"
"15";"BOYACA";"820";"TOPAGA"
"15";"BOYACA";"822";"TOTA"
"15";"BOYACA";"832";"TUNUNGUA"
"15";"BOYACA";"835";"TURMEQUE"
"15";"BOYACA";"837";"TUTA"
"15";"BOYACA";"839";"TUTAZA"
"15";"BOYACA";"842";"UMBITA"
"15";"BOYACA";"861";"VENTAQUEMADA"
"15";"BOYACA";"879";"VIRACACHA"
"15";"BOYACA";"897";"ZETAQUIRA"
"17";"CALDAS";"001";"MANIZALES"
"17";"CALDAS";"013";"AGUADAS"
"17";"CALDAS";"042";"ANSERMA"
"17";"CALDAS";"050";"ARANZAZU"
"17";"CALDAS";"088";"BELALCAZAR"
"17";"CALDAS";"174";"CHINCHINA"
"17";"CALDAS";"272";"FILADELFIA"
"17";"CALDAS";"380";"LA DORADA"
"17";"CALDAS";"388";"LA MERCED"
"17";"CALDAS";"433";"MANZANARES"
"17";"CALDAS";"442";"MARMATO"
"17";"CALDAS";"444";"MARQUETALIA"
"17";"CALDAS";"446";"MARULANDA"
"17";"CALDAS";"486";"NEIRA"
"17";"CALDAS";"495";"NORCASIA"
"17";"CALDAS";"513";"PACORA"
"17";"CALDAS";"524";"PALESTINA"
"17";"CALDAS";"541";"PENSILVANIA"
"17";"CALDAS";"614";"RIOSUCIO"
"17";"CALDAS";"616";"RISARALDA"
"17";"CALDAS";"653";"SALAMINA"
"17";"CALDAS";"662";"SAMANA"
"17";"CALDAS";"665";"SAN JOSE"
"17";"CALDAS";"777";"SUPIA"
"17";"CALDAS";"867";"VICTORIA"
"17";"CALDAS";"873";"VILLAMARIA"
"17";"CALDAS";"877";"VITERBO"
"18";"CAQUETA";"001";"FLORENCIA"
"18";"CAQUETA";"029";"ALBANIA"
"18";"CAQUETA";"094";"BELEN DE LOS ANDAQUIES"
"18";"CAQUETA";"150";"CARTAGENA DEL CHAIRA"
"18";"CAQUETA";"205";"CURILLO"
"18";"CAQUETA";"247";"EL DONCELLO"
"18";"CAQUETA";"256";"EL PAUJIL"
"18";"CAQUETA";"410";"LA MONTAÑITA"
"18";"CAQUETA";"460";"MILAN"
"18";"CAQUETA";"479";"MORELIA"
"18";"CAQUETA";"592";"PUERTO RICO"
"18";"CAQUETA";"610";"SAN JOSE DEL FRAGUA"
"18";"CAQUETA";"753";"SAN VICENTE DEL CAGUAN"
"18";"CAQUETA";"756";"SOLANO"
"18";"CAQUETA";"785";"SOLITA"
"18";"CAQUETA";"860";"VALPARAISO"
"19";"CAUCA";"001";"POPAYAN"
"19";"CAUCA";"022";"ALMAGUER"
"19";"CAUCA";"050";"ARGELIA"
"19";"CAUCA";"075";"BALBOA"
"19";"CAUCA";"100";"BOLIVAR"
"19";"CAUCA";"110";"BUENOS AIRES"
"19";"CAUCA";"130";"CAJIBIO"
"19";"CAUCA";"137";"CALDONO"
"19";"CAUCA";"142";"CALOTO"
"19";"CAUCA";"212";"CORINTO"
"19";"CAUCA";"256";"EL TAMBO"
"19";"CAUCA";"290";"FLORENCIA"
"19";"CAUCA";300;"GUACHENE"
"19";"CAUCA";"318";"GUAPI"
"19";"CAUCA";"355";"INZA"
"19";"CAUCA";"364";"JAMBALO"
"19";"CAUCA";"392";"LA SIERRA"
"19";"CAUCA";"397";"LA VEGA"
"19";"CAUCA";"418";"LOPEZ"
"19";"CAUCA";"450";"MERCADERES"
"19";"CAUCA";"455";"MIRANDA"
"19";"CAUCA";"473";"MORALES"
"19";"CAUCA";"513";"PADILLA"
"19";"CAUCA";"517";"PAEZ"
"19";"CAUCA";"532";"PATIA"
"19";"CAUCA";"533";"PIAMONTE"
"19";"CAUCA";"548";"PIENDAMO"
"19";"CAUCA";"573";"PUERTO TEJADA"
"19";"CAUCA";"585";"PURACE"
"19";"CAUCA";"622";"ROSAS"
"19";"CAUCA";"693";"SAN SEBASTIAN"
"19";"CAUCA";"698";"SANTANDER DE QUILICHAO"
"19";"CAUCA";"701";"SANTA ROSA"
"19";"CAUCA";"743";"SILVIA"
"19";"CAUCA";"760";"SOTARA"
"19";"CAUCA";"780";"SUAREZ"
"19";"CAUCA";"785";"SUCRE"
"19";"CAUCA";"807";"TIMBIO"
"19";"CAUCA";"809";"TIMBIQUI"
"19";"CAUCA";"821";"TORIBIO"
"19";"CAUCA";"824";"TOTORO"
"19";"CAUCA";"845";"VILLA RICA"
"20";"CESAR";"001";"VALLEDUPAR"
"20";"CESAR";"011";"AGUACHICA"
"20";"CESAR";"013";"AGUSTIN CODAZZI"
"20";"CESAR";"032";"ASTREA"
"20";"CESAR";"045";"BECERRIL"
"20";"CESAR";"060";"BOSCONIA"
"20";"CESAR";"175";"CHIMICHAGUA"
"20";"CESAR";"178";"CHIRIGUANA"
"20";"CESAR";"228";"CURUMANI"
"20";"CESAR";"238";"EL COPEY"
"20";"CESAR";"250";"EL PASO"
"20";"CESAR";"295";"GAMARRA"
"20";"CESAR";"310";"GONZALEZ"
"20";"CESAR";"383";"LA GLORIA"
"20";"CESAR";"400";"LA JAGUA DE IBIRICO"
"20";"CESAR";"443";"MANAURE"
"20";"CESAR";"517";"PAILITAS"
"20";"CESAR";"550";"PELAYA"
"20";"CESAR";"570";"PUEBLO BELLO"
"20";"CESAR";"614";"RIO DE ORO"
"20";"CESAR";"621";"LA PAZ"
"20";"CESAR";"710";"SAN ALBERTO"
"20";"CESAR";"750";"SAN DIEGO"
"20";"CESAR";"770";"SAN MARTIN"
"20";"CESAR";"787";"TAMALAMEQUE"
"23";"CORDOBA";"001";"MONTERIA"
"23";"CORDOBA";"068";"AYAPEL"
"23";"CORDOBA";"079";"BUENAVISTA"
"23";"CORDOBA";"090";"CANALETE"
"23";"CORDOBA";"162";"CERETE"
"23";"CORDOBA";"168";"CHIMA"
"23";"CORDOBA";"182";"CHINU"
"23";"CORDOBA";"189";"CIENAGA DE ORO"
"23";"CORDOBA";"300";"COTORRA"
"23";"CORDOBA";"350";"LA APARTADA"
"23";"CORDOBA";"417";"LORICA"
"23";"CORDOBA";"419";"LOS CORDOBAS"
"23";"CORDOBA";"464";"MOMIL"
"23";"CORDOBA";"466";"MONTELIBANO"
"23";"CORDOBA";"500";"MOÑITOS"
"23";"CORDOBA";"555";"PLANETA RICA"
"23";"CORDOBA";"570";"PUEBLO NUEVO"
"23";"CORDOBA";"574";"PUERTO ESCONDIDO"
"23";"CORDOBA";"580";"PUERTO LIBERTADOR"
"23";"CORDOBA";"586";"PURISIMA"
"23";"CORDOBA";"660";"SAHAGUN"
"23";"CORDOBA";"670";"SAN ANDRES SOTAVENTO"
"23";"CORDOBA";"672";"SAN ANTERO"
"23";"CORDOBA";"675";"SAN BERNARDO DEL VIENTO"
"23";"CORDOBA";"678";"SAN CARLOS"
"23";"CORDOBA";"686";"SAN PELAYO"
"23";"CORDOBA";"807";"TIERRALTA"
"23";"CORDOBA";"855";"VALENCIA"
"25";"CUNDINAMARCA";"001";"AGUA DE DIOS"
"25";"CUNDINAMARCA";"019";"ALBAN"
"25";"CUNDINAMARCA";"035";"ANAPOIMA"
"25";"CUNDINAMARCA";"040";"ANOLAIMA"
"25";"CUNDINAMARCA";"053";"ARBELAEZ"
"25";"CUNDINAMARCA";"086";"BELTRAN"
"25";"CUNDINAMARCA";"095";"BITUIMA"
"25";"CUNDINAMARCA";"099";"BOJACA"
"25";"CUNDINAMARCA";"120";"CABRERA"
"25";"CUNDINAMARCA";"123";"CACHIPAY"
"25";"CUNDINAMARCA";"126";"CAJICA"
"25";"CUNDINAMARCA";"148";"CAPARRAPI"
"25";"CUNDINAMARCA";"151";"CAQUEZA"
"25";"CUNDINAMARCA";"154";"CARMEN DE CARUPA"
"25";"CUNDINAMARCA";"168";"CHAGUANI"
"25";"CUNDINAMARCA";"175";"CHIA"
"25";"CUNDINAMARCA";"178";"CHIPAQUE"
"25";"CUNDINAMARCA";"181";"CHOACHI"
"25";"CUNDINAMARCA";"183";"CHOCONTA"
"25";"CUNDINAMARCA";"200";"COGUA"
"25";"CUNDINAMARCA";"214";"COTA"
"25";"CUNDINAMARCA";"224";"CUCUNUBA"
"25";"CUNDINAMARCA";"245";"EL COLEGIO"
"25";"CUNDINAMARCA";"258";"EL PEÑON"
"25";"CUNDINAMARCA";"260";"EL ROSAL"
"25";"CUNDINAMARCA";"269";"FACATATIVA"
"25";"CUNDINAMARCA";"279";"FOMEQUE"
"25";"CUNDINAMARCA";"281";"FOSCA"
"25";"CUNDINAMARCA";"286";"FUNZA"
"25";"CUNDINAMARCA";"288";"FUQUENE"
"25";"CUNDINAMARCA";"290";"FUSAGASUGA"
"25";"CUNDINAMARCA";"293";"GACHALA"
"25";"CUNDINAMARCA";"295";"GACHANCIPA"
"25";"CUNDINAMARCA";"297";"GACHETA"
"25";"CUNDINAMARCA";"299";"GAMA"
"25";"CUNDINAMARCA";"307";"GIRARDOT"
"25";"CUNDINAMARCA";"312";"GRANADA"
"25";"CUNDINAMARCA";"317";"GUACHETA"
"25";"CUNDINAMARCA";"320";"GUADUAS"
"25";"CUNDINAMARCA";"322";"GUASCA"
"25";"CUNDINAMARCA";"324";"GUATAQUI"
"25";"CUNDINAMARCA";"326";"GUATAVITA"
"25";"CUNDINAMARCA";"328";"GUAYABAL DE SIQUIMA"
"25";"CUNDINAMARCA";"335";"GUAYABETAL"
"25";"CUNDINAMARCA";"339";"GUTIERREZ"
"25";"CUNDINAMARCA";"368";"JERUSALEN"
"25";"CUNDINAMARCA";"372";"JUNIN"
"25";"CUNDINAMARCA";"377";"LA CALERA"
"25";"CUNDINAMARCA";"386";"LA MESA"
"25";"CUNDINAMARCA";"394";"LA PALMA"
"25";"CUNDINAMARCA";"398";"LA PEÑA"
"25";"CUNDINAMARCA";"402";"LA VEGA"
"25";"CUNDINAMARCA";"407";"LENGUAZAQUE"
"25";"CUNDINAMARCA";"426";"MACHETA"
"25";"CUNDINAMARCA";"430";"MADRID"
"25";"CUNDINAMARCA";"436";"MANTA"
"25";"CUNDINAMARCA";"438";"MEDINA"
"25";"CUNDINAMARCA";"473";"MOSQUERA"
"25";"CUNDINAMARCA";"483";"NARIÑO"
"25";"CUNDINAMARCA";"486";"NEMOCON"
"25";"CUNDINAMARCA";"488";"NILO"
"25";"CUNDINAMARCA";"489";"NIMAIMA"
"25";"CUNDINAMARCA";"491";"NOCAIMA"
"25";"CUNDINAMARCA";"506";"VENECIA"
"25";"CUNDINAMARCA";"513";"PACHO"
"25";"CUNDINAMARCA";"518";"PAIME"
"25";"CUNDINAMARCA";"524";"PANDI"
"25";"CUNDINAMARCA";"530";"PARATEBUENO"
"25";"CUNDINAMARCA";"535";"PASCA"
"25";"CUNDINAMARCA";"572";"PUERTO SALGAR"
"25";"CUNDINAMARCA";"580";"PULI"
"25";"CUNDINAMARCA";"592";"QUEBRADANEGRA"
"25";"CUNDINAMARCA";"594";"QUETAME"
"25";"CUNDINAMARCA";"596";"QUIPILE"
"25";"CUNDINAMARCA";"599";"APULO"
"25";"CUNDINAMARCA";"612";"RICAURTE"
"25";"CUNDINAMARCA";"645";"SAN ANTONIO DEL TEQUENDAMA"
"25";"CUNDINAMARCA";"649";"SAN BERNARDO"
"25";"CUNDINAMARCA";"653";"SAN CAYETANO"
"25";"CUNDINAMARCA";"658";"SAN FRANCISCO"
"25";"CUNDINAMARCA";"662";"SAN JUAN DE RIO SECO"
"25";"CUNDINAMARCA";"718";"SASAIMA"
"25";"CUNDINAMARCA";"736";"SESQUILE"
"25";"CUNDINAMARCA";"740";"SIBATE"
"25";"CUNDINAMARCA";"743";"SILVANIA"
"25";"CUNDINAMARCA";"745";"SIMIJACA"
"25";"CUNDINAMARCA";"754";"SOACHA"
"25";"CUNDINAMARCA";"758";"SOPO"
"25";"CUNDINAMARCA";"769";"SUBACHOQUE"
"25";"CUNDINAMARCA";"772";"SUESCA"
"25";"CUNDINAMARCA";"777";"SUPATA"
"25";"CUNDINAMARCA";"779";"SUSA"
"25";"CUNDINAMARCA";"781";"SUTATAUSA"
"25";"CUNDINAMARCA";"785";"TABIO"
"25";"CUNDINAMARCA";"793";"TAUSA"
"25";"CUNDINAMARCA";"797";"TENA"
"25";"CUNDINAMARCA";"799";"TENJO"
"25";"CUNDINAMARCA";"805";"TIBACUY"
